Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Atlanta Falcons,@,New York Giants,16,14,272,3,378,4
1,Buffalo Bills,,Kansas City Chiefs,14,9,259,0,229,2
1,Detroit Lions,,Chicago Bears,17,10,212,1,154,1
1,Cincinnati Bengals,,Houston Oilers,27,6,419,0,171,1
1,St. Louis Cardinals,@,New Orleans Saints,21,7,150,1,290,4
1,Green Bay Packers,,Los Angeles Rams,35,23,377,6,271,3
1,Minnesota Vikings,,Tampa Bay Buccaneers,17,10,216,1,355,4
1,Washington Redskins,@,Philadelphia Eagles,37,34,487,2,426,1
1,New England Patriots,@,Baltimore Colts,24,13,330,1,352,4
1,Cleveland Browns,@,Seattle Seahawks,21,7,330,1,180,3
1,San Diego Chargers,@,Denver Broncos,23,3,393,0,323,6
1,Miami Dolphins,@,New York Jets,45,28,323,2,341,4
1,Los Angeles Raiders,@,San Francisco 49ers,23,17,255,4,252,4
1,Pittsburgh Steelers,@,Dallas Cowboys,36,28,388,1,436,4
2,Buffalo Bills,,Minnesota Vikings,23,22,451,2,371,1
2,Los Angeles Raiders,@,Atlanta Falcons,38,14,364,1,385,5
2,New Orleans Saints,@,Chicago Bears,10,0,317,1,183,3
2,Pittsburgh Steelers,,Cincinnati Bengals,26,20,295,0,379,3
2,Philadelphia Eagles,@,Cleveland Browns,24,21,423,2,366,3
2,Dallas Cowboys,@,St. Louis Cardinals,24,7,379,2,311,1
2,Kansas City Chiefs,,San Diego Chargers,19,12,282,1,282,3
2,New York Jets,@,New England Patriots,31,7,396,2,57,3
2,Miami Dolphins,,Baltimore Colts,24,20,303,2,256,0
2,Denver Broncos,,San Francisco 49ers,24,21,283,2,413,2
2,Detroit Lions,@,Los Angeles Rams,19,14,355,2,375,5
2,Houston Oilers,,Seattle Seahawks,23,21,282,3,303,3
2,Washington Redskins,@,Tampa Bay Buccaneers,21,13,248,0,278,4
2,Green Bay Packers,@,New York Giants,27,19,361,1,267,3
11,Atlanta Falcons,,Los Angeles Rams,34,17,387,0,274,2
11,Miami Dolphins,@,Buffalo Bills,9,7,249,2,258,7
11,Chicago Bears,,Detroit Lions,20,17,365,3,152,2
11,Cincinnati Bengals,@,Philadelphia Eagles,18,14,310,4,275,3
11,Cleveland Browns,,New England Patriots,10,7,225,0,265,2
11,New York Jets,,Baltimore Colts,37,0,476,0,318,3
11,Dallas Cowboys,,Tampa Bay Buccaneers,14,9,185,1,382,1
11,Green Bay Packers,,Minnesota Vikings,26,7,359,1,184,1
11,New Orleans Saints,,Kansas City Chiefs,27,17,293,1,286,2
11,Pittsburgh Steelers,@,Houston Oilers,24,10,362,3,292,4
11,San Francisco 49ers,@,St. Louis Cardinals,31,20,448,3,254,0
11,Seattle Seahawks,@,Denver Broncos,17,10,387,1,250,2
11,Washington Redskins,@,New York Giants,27,17,312,0,287,1
11,Los Angeles Raiders,,San Diego Chargers,28,24,326,2,411,4
12,New York Giants,@,Detroit Lions,13,6,206,3,321,4
12,Dallas Cowboys,,Cleveland Browns,31,14,496,4,280,5
12,St. Louis Cardinals,@,Atlanta Falcons,23,20,299,0,274,2
12,Buffalo Bills,,Baltimore Colts,20,0,312,0,88,1
12,Minnesota Vikings,,Chicago Bears,35,7,384,3,197,5
12,Cincinnati Bengals,,Los Angeles Raiders,31,17,347,2,335,4
12,New York Jets,,Green Bay Packers,15,13,355,2,263,1
12,New England Patriots,,Houston Oilers,29,21,378,3,240,3
12,Washington Redskins,,Philadelphia Eagles,13,9,295,3,319,5
12,San Diego Chargers,,Denver Broncos,30,20,436,3,294,5
12,Los Angeles Rams,,Kansas City Chiefs,20,14,281,4,278,1
12,New Orleans Saints,@,San Francisco 49ers,23,20,324,1,376,3
12,Seattle Seahawks,,Pittsburgh Steelers,16,0,290,1,218,5
12,Tampa Bay Buccaneers,,Miami Dolphins,23,17,215,0,330,6
13,San Francisco 49ers,@,Los Angeles Rams,30,24,375,1,341,2
13,Green Bay Packers,,Buffalo Bills,33,21,301,3,336,5
13,Chicago Bears,,New England Patriots,26,13,342,3,249,4
13,San Diego Chargers,@,Cleveland Browns,30,13,382,2,398,2
13,St. Louis Cardinals,@,Philadelphia Eagles,23,20,360,2,245,2
13,Pittsburgh Steelers,,Kansas City Chiefs,35,14,376,2,238,2
13,Miami Dolphins,,Minnesota Vikings,22,14,301,1,182,4
13,Tampa Bay Buccaneers,@,New Orleans Saints,13,10,271,0,380,3
13,New York Giants,,Houston Oilers,17,14,401,1,268,0
13,Atlanta Falcons,@,Denver Broncos,34,27,342,2,350,4
13,Cincinnati Bengals,@,Baltimore Colts,20,17,290,0,333,0
13,Dallas Cowboys,@,Washington Redskins,24,10,362,2,275,3
13,Los Angeles Raiders,,Seattle Seahawks,28,23,235,1,331,4
