Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Detroit Lions,,Atlanta Falcons,28,17,221,3,323,4
1,Minnesota Vikings,@,Buffalo Bills,34,13,385,1,426,4
1,Cincinnati Bengals,,Arizona Cardinals,24,21,317,1,323,2
1,Miami Dolphins,,Indianapolis Colts,16,10,202,1,298,3
1,Dallas Cowboys,@,Pittsburgh Steelers,37,7,380,0,174,2
1,St. Louis Rams,,New Orleans Saints,38,24,403,1,241,5
1,New England Patriots,,San Diego Chargers,41,7,424,0,227,3
1,New York Giants,,Philadelphia Eagles,31,17,290,0,447,2
1,Tennessee Oilers,,Oakland Raiders,24,21,419,2,332,1
1,Denver Broncos,,Kansas City Chiefs,19,3,378,0,241,1
1,Jacksonville Jaguars,@,Baltimore Ravens,28,27,411,1,373,3
1,New York Jets,@,Seattle Seahawks,41,3,434,0,247,2
1,Tampa Bay Buccaneers,,San Francisco 49ers,13,6,271,2,191,1
1,Washington Redskins,@,Carolina Panthers,24,10,323,0,262,4
1,Green Bay Packers,,Chicago Bears,38,24,315,2,336,3
2,Carolina Panthers,@,Atlanta Falcons,9,6,321,2,210,2
2,Buffalo Bills,@,New York Jets,28,22,269,3,202,2
2,Minnesota Vikings,@,Chicago Bears,27,24,378,1,305,2
2,Baltimore Ravens,,Cincinnati Bengals,23,10,412,3,339,2
2,New England Patriots,@,Indianapolis Colts,31,6,382,0,255,1
2,Tampa Bay Buccaneers,@,Detroit Lions,24,17,272,0,346,1
2,Miami Dolphins,,Tennessee Oilers,16,13,354,1,294,1
2,San Diego Chargers,@,New Orleans Saints,20,6,230,2,243,6
2,Pittsburgh Steelers,,Washington Redskins,14,13,295,1,354,3
2,San Francisco 49ers,@,St. Louis Rams,15,12,228,4,203,4
2,Denver Broncos,@,Seattle Seahawks,35,14,331,1,289,1
2,Philadelphia Eagles,,Green Bay Packers,10,9,258,1,380,2
2,Jacksonville Jaguars,,New York Giants,40,13,375,1,206,3
2,Arizona Cardinals,,Dallas Cowboys,25,22,286,4,327,1
2,Kansas City Chiefs,@,Oakland Raiders,28,27,428,3,389,2
3,Oakland Raiders,@,Atlanta Falcons,36,31,414,1,366,2
3,Kansas City Chiefs,,Buffalo Bills,22,16,267,0,325,2
3,Detroit Lions,@,Chicago Bears,32,7,404,1,284,2
3,Washington Redskins,,Arizona Cardinals,19,13,328,1,234,2
3,Green Bay Packers,,Miami Dolphins,23,18,392,2,299,1
3,Tampa Bay Buccaneers,@,Minnesota Vikings,28,14,376,0,382,2
3,Baltimore Ravens,@,New York Giants,24,23,273,1,390,0
3,Carolina Panthers,@,San Diego Chargers,26,7,279,1,251,4
3,Seattle Seahawks,@,Indianapolis Colts,31,3,423,1,118,0
3,Denver Broncos,,St. Louis Rams,35,14,377,2,314,2
3,San Francisco 49ers,,New Orleans Saints,33,7,304,1,260,8
3,New England Patriots,,New York Jets,27,24,375,3,355,3
3,Dallas Cowboys,,Philadelphia Eagles,21,20,279,2,333,0
4,Baltimore Ravens,@,Tennessee Oilers,36,10,398,0,285,5
4,Kansas City Chiefs,@,Carolina Panthers,35,14,331,1,364,5
4,New England Patriots,,Chicago Bears,31,3,402,3,199,3
4,New Orleans Saints,,Detroit Lions,35,17,385,0,355,4
4,Green Bay Packers,,Minnesota Vikings,38,32,350,3,393,2
4,New York Jets,,Oakland Raiders,23,22,303,1,468,0
4,Denver Broncos,,Cincinnati Bengals,38,20,372,1,389,1
