Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Tampa Bay Buccaneers,,Minnesota Vikings,21,13,219,0,443,4
1,Atlanta Falcons,,New Orleans Saints,27,0,299,4,249,4
1,Cincinnati Bengals,,Seattle Seahawks,27,21,375,4,290,4
1,Baltimore Colts,@,New England Patriots,29,28,346,1,388,3
1,Miami Dolphins,@,St. Louis Cardinals,20,7,292,3,203,2
1,Dallas Cowboys,@,Washington Redskins,26,10,346,1,324,6
1,Detroit Lions,,San Francisco 49ers,24,17,295,2,297,3
1,Kansas City Chiefs,@,Pittsburgh Steelers,37,33,353,2,408,7
1,Philadelphia Eagles,@,New York Giants,24,10,325,2,230,1
1,Green Bay Packers,@,Chicago Bears,16,9,346,3,306,4
1,Buffalo Bills,,New York Jets,31,0,418,1,231,2
1,Denver Broncos,,Oakland Raiders,9,7,358,1,165,3
1,Houston Oilers,@,Los Angeles Rams,27,20,309,3,385,4
1,San Diego Chargers,@,Cleveland Browns,44,14,535,0,419,2
2,Miami Dolphins,,Pittsburgh Steelers,30,10,346,1,300,2
2,Atlanta Falcons,@,Green Bay Packers,31,17,335,4,396,5
2,Houston Oilers,@,Cleveland Browns,9,3,209,4,302,2
2,Kansas City Chiefs,,Tampa Bay Buccaneers,19,10,256,0,298,0
2,New Orleans Saints,,Los Angeles Rams,23,17,304,3,255,4
2,New York Giants,@,Washington Redskins,17,7,157,2,349,4
2,Buffalo Bills,@,Baltimore Colts,35,3,430,3,147,3
2,San Francisco 49ers,,Chicago Bears,28,17,412,2,339,3
2,Cincinnati Bengals,@,New York Jets,31,30,310,1,388,1
2,Dallas Cowboys,,St. Louis Cardinals,30,17,391,2,404,2
2,Seattle Seahawks,,Denver Broncos,13,10,267,2,252,2
2,San Diego Chargers,,Detroit Lions,28,23,367,2,385,2
2,Philadelphia Eagles,,New England Patriots,13,3,362,2,283,5
2,Oakland Raiders,@,Minnesota Vikings,36,10,310,1,269,3
3,Philadelphia Eagles,@,Buffalo Bills,20,14,396,3,277,3
3,Atlanta Falcons,,San Francisco 49ers,34,17,363,0,386,3
3,Cleveland Browns,@,Cincinnati Bengals,20,17,422,0,281,0
3,St. Louis Cardinals,,Washington Redskins,40,30,315,0,521,2
3,Minnesota Vikings,,Detroit Lions,26,24,406,3,404,2
3,Miami Dolphins,@,Houston Oilers,16,10,257,1,202,1
3,Pittsburgh Steelers,,New York Jets,38,10,566,1,258,2
3,Chicago Bears,,Tampa Bay Buccaneers,28,17,247,1,450,3
3,San Diego Chargers,@,Kansas City Chiefs,42,31,398,3,426,8
3,Denver Broncos,,Baltimore Colts,28,10,442,4,209,3
3,Los Angeles Rams,,Green Bay Packers,35,23,203,3,200,4
3,New York Giants,,New Orleans Saints,20,7,421,2,299,3
3,Oakland Raiders,,Seattle Seahawks,20,10,432,3,390,2
3,Dallas Cowboys,@,New England Patriots,35,21,455,1,333,7
4,Cleveland Browns,,Atlanta Falcons,28,17,385,5,262,4
4,Cincinnati Bengals,,Buffalo Bills,27,24,429,2,389,1
4,Detroit Lions,,Oakland Raiders,16,0,260,3,131,2
4,Pittsburgh Steelers,,New England Patriots,27,21,498,0,438,1
4,New York Jets,,Houston Oilers,33,17,478,2,221,6
4,Philadelphia Eagles,,Washington Redskins,36,13,221,1,337,3
4,Miami Dolphins,@,Baltimore Colts,31,28,428,0,514,1
4,Minnesota Vikings,@,Green Bay Packers,30,13,410,3,316,2
4,Tampa Bay Buccaneers,,St. Louis Cardinals,20,10,321,1,255,2
4,Dallas Cowboys,,New York Giants,18,10,317,0,343,3
4,Denver Broncos,,San Diego Chargers,42,24,453,3,349,5
4,Kansas City Chiefs,@,Seattle Seahawks,20,14,381,2,359,1
4,San Francisco 49ers,,New Orleans Saints,21,14,314,2,413,4
4,Los Angeles Rams,@,Chicago Bears,24,7,329,2,223,3
5,Buffalo Bills,,Baltimore Colts,23,17,366,1,378,2
5,Minnesota Vikings,,Chicago Bears,24,21,345,1,396,2
5,St. Louis Cardinals,,Dallas Cowboys,20,17,299,3,306,2
5,Green Bay Packers,@,New York Giants,27,14,363,1,262,2
5,New England Patriots,,Kansas City Chiefs,33,17,451,2,327,4
5,San Francisco 49ers,@,Washington Redskins,30,17,296,2,304,6
5,Houston Oilers,,Cincinnati Bengals,17,10,187,1,357,1
5,Pittsburgh Steelers,@,New Orleans Saints,20,6,406,3,180,5
5,Los Angeles Rams,,Cleveland Browns,27,16,410,1,318,1
5,Denver Broncos,@,Oakland Raiders,17,0,252,0,168,6
5,Tampa Bay Buccaneers,,Detroit Lions,28,10,211,1,332,6
5,New York Jets,@,Miami Dolphins,28,28,546,3,399,0
5,San Diego Chargers,,Seattle Seahawks,24,10,371,2,292,1
5,Philadelphia Eagles,,Atlanta Falcons,16,13,268,1,339,3
6,Los Angeles Rams,@,Atlanta Falcons,37,35,252,2,349,3
6,Pittsburgh Steelers,,Cleveland Browns,13,7,365,1,445,3
6,Philadelphia Eagles,@,New Orleans Saints,31,14,369,2,240,4
6,New York Jets,,New England Patriots,28,24,297,3,454,4
6,Washington Redskins,@,Chicago Bears,24,7,301,1,204,4
6,Cincinnati Bengals,@,Baltimore Colts,41,19,378,0,350,4
6,Tampa Bay Buccaneers,@,Green Bay Packers,21,10,371,2,298,4
6,Kansas City Chiefs,,Oakland Raiders,27,0,454,2,230,3
6,Houston Oilers,,Seattle Seahawks,35,17,372,1,289,3
6,New York Giants,,St. Louis Cardinals,34,14,377,1,285,4
6,San Francisco 49ers,,Dallas Cowboys,45,14,440,1,192,4
6,Denver Broncos,,Detroit Lions,27,21,401,3,325,1
6,Minnesota Vikings,@,San Diego Chargers,33,31,526,3,425,1
6,Buffalo Bills,,Miami Dolphins,31,21,454,1,324,4
7,Atlanta Falcons,,St. Louis Cardinals,41,20,394,2,383,4
7,New York Jets,,Buffalo Bills,33,14,374,1,288,3
7,Cincinnati Bengals,,Pittsburgh Steelers,34,7,494,0,205,1
7,Cleveland Browns,,New Orleans Saints,20,17,355,1,334,1
7,San Francisco 49ers,@,Green Bay Packers,13,3,337,1,241,1
7,Miami Dolphins,,Washington Redskins,13,10,445,2,301,2
7,Minnesota Vikings,,Philadelphia Eagles,35,23,334,0,403,4
7,New England Patriots,,Houston Oilers,38,10,436,4,309,4
7,San Diego Chargers,@,Baltimore Colts,43,14,470,1,264,3
7,Kansas City Chiefs,,Denver Broncos,28,14,324,5,396,5
7,New York Giants,@,Seattle Seahawks,32,0,301,1,127,4
7,Oakland Raiders,,Tampa Bay Buccaneers,18,16,370,3,356,3
7,Dallas Cowboys,,Los Angeles Rams,29,17,496,3,374,3
7,Detroit Lions,,Chicago Bears,48,17,485,1,449,4
8,New York Giants,@,Atlanta Falcons,27,24,289,0,430,2
8,Buffalo Bills,,Denver Broncos,9,7,323,2,161,0
8,Cleveland Browns,,Baltimore Colts,42,28,562,6,357,3
8,St. Louis Cardinals,,Minnesota Vikings,30,17,320,2,387,3
8,Detroit Lions,,Green Bay Packers,31,27,409,2,382,3
8,Washington Redskins,,New England Patriots,24,22,230,2,409,3
8,Philadelphia Eagles,,Tampa Bay Buccaneers,20,10,298,3,347,4
8,New Orleans Saints,,Cincinnati Bengals,17,7,336,1,205,2
8,Chicago Bears,,San Diego Chargers,20,17,414,1,356,2
8,Dallas Cowboys,,Miami Dolphins,28,27,466,2,529,5
8,Kansas City Chiefs,@,Oakland Raiders,28,17,330,4,342,6
8,Seattle Seahawks,@,New York Jets,19,3,380,1,219,4
8,San Francisco 49ers,,Los Angeles Rams,20,17,325,0,401,1
8,Pittsburgh Steelers,,Houston Oilers,26,13,363,1,307,3
9,Atlanta Falcons,@,New Orleans Saints,41,10,406,1,262,3
9,Buffalo Bills,,Cleveland Browns,22,13,469,5,211,3
9,Tampa Bay Buccaneers,,Chicago Bears,20,10,392,1,325,3
9,Cincinnati Bengals,,Houston Oilers,34,21,422,1,433,4
9,Miami Dolphins,,Baltimore Colts,27,10,310,0,308,3
9,New York Jets,@,New York Giants,26,7,299,1,166,3
9,San Francisco 49ers,@,Pittsburgh Steelers,17,14,330,2,269,6
