Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
9,Green Bay Packers,,Seattle Seahawks,34,24,377,3,221,3
9,Washington Redskins,,St. Louis Cardinals,42,21,361,1,449,4
9,Dallas Cowboys,@,Philadelphia Eagles,17,14,317,3,291,1
9,Los Angeles Rams,,Detroit Lions,20,13,321,3,293,2
9,San Diego Chargers,,Kansas City Chiefs,22,20,379,4,339,3
9,Oakland Raiders,,New England Patriots,27,17,460,3,282,2
9,Denver Broncos,,Minnesota Vikings,19,17,329,2,325,2
10,Philadelphia Eagles,@,St. Louis Cardinals,52,10,452,1,239,5
10,Washington Redskins,,Detroit Lions,33,31,464,3,499,6
10,Green Bay Packers,,New York Giants,26,24,267,2,321,7
10,Miami Dolphins,@,New England Patriots,30,27,419,4,492,5
10,Minnesota Vikings,,Tampa Bay Buccaneers,25,10,426,4,193,2
10,Houston Oilers,,Oakland Raiders,17,16,298,2,316,2
10,Chicago Bears,@,Kansas City Chiefs,16,13,278,0,249,6
10,San Francisco 49ers,,Atlanta Falcons,17,14,287,1,292,3
10,Cincinnati Bengals,@,San Diego Chargers,40,17,461,2,447,5
10,Denver Broncos,,Cleveland Browns,23,20,362,2,362,4
10,New York Jets,@,Baltimore Colts,41,14,393,0,332,2
10,New Orleans Saints,@,Los Angeles Rams,21,13,462,2,304,4
10,Seattle Seahawks,,Pittsburgh Steelers,24,21,356,1,367,2
10,Dallas Cowboys,,Buffalo Bills,27,14,398,3,365,5
11,Pittsburgh Steelers,@,Atlanta Falcons,34,20,293,3,441,6
11,St. Louis Cardinals,,Buffalo Bills,24,0,338,1,311,6
11,Green Bay Packers,,Chicago Bears,21,17,247,2,253,3
11,Cincinnati Bengals,,Los Angeles Rams,24,10,233,1,296,4
11,Philadelphia Eagles,,Baltimore Colts,38,13,574,2,208,2
11,Denver Broncos,@,Tampa Bay Buccaneers,24,7,281,1,209,2
11,Oakland Raiders,@,Miami Dolphins,33,17,304,0,306,2
11,Minnesota Vikings,,New Orleans Saints,20,10,357,1,314,2
11,New York Jets,@,New England Patriots,17,6,226,1,197,2
11,Kansas City Chiefs,,Houston Oilers,23,10,283,2,370,5
11,Cleveland Browns,@,San Francisco 49ers,15,12,267,2,305,2
11,Detroit Lions,,Dallas Cowboys,27,24,429,3,323,2
11,Washington Redskins,@,New York Giants,30,27,418,1,248,2
11,Seattle Seahawks,,San Diego Chargers,44,23,368,0,486,4
12,Buffalo Bills,,New England Patriots,20,17,434,2,297,2
12,Detroit Lions,@,Chicago Bears,23,7,356,3,24,3
12,Cincinnati Bengals,,Denver Broncos,38,21,571,1,337,4
12,Pittsburgh Steelers,@,Cleveland Browns,32,10,362,5,365,7
12,Tampa Bay Buccaneers,,Green Bay Packers,37,3,348,3,282,4
12,New Orleans Saints,@,Houston Oilers,27,24,321,2,260,2
12,New York Giants,@,Philadelphia Eagles,20,10,292,3,293,1
12,St. Louis Cardinals,@,Baltimore Colts,35,24,452,3,385,2
12,Kansas City Chiefs,,Seattle Seahawks,40,13,450,0,339,2
12,Dallas Cowboys,,Washington Redskins,24,10,470,2,256,1
12,New York Jets,,Miami Dolphins,16,15,285,2,187,2
12,San Diego Chargers,@,Oakland Raiders,55,21,465,2,342,3
12,San Francisco 49ers,@,Los Angeles Rams,33,31,330,2,411,2
12,Atlanta Falcons,,Minnesota Vikings,31,30,342,3,460,5
13,Detroit Lions,,Kansas City Chiefs,27,10,285,1,245,3
13,Dallas Cowboys,,Chicago Bears,10,9,273,3,272,3
13,Buffalo Bills,,Washington Redskins,21,14,229,2,293,5
13,Cincinnati Bengals,@,Cleveland Browns,41,21,356,0,349,3
13,New York Jets,,Baltimore Colts,25,0,300,0,152,1
13,St. Louis Cardinals,@,New England Patriots,27,20,412,2,353,2
13,Green Bay Packers,@,Minnesota Vikings,35,23,409,4,404,5
13,Pittsburgh Steelers,,Los Angeles Rams,24,0,381,3,174,4
13,Tampa Bay Buccaneers,@,New Orleans Saints,31,14,345,2,341,3
13,Atlanta Falcons,@,Houston Oilers,31,27,459,2,318,3
13,San Diego Chargers,,Denver Broncos,34,17,408,2,389,5
13,San Francisco 49ers,,New York Giants,17,10,337,0,223,5
13,Oakland Raiders,@,Seattle Seahawks,32,31,337,4,383,1
13,Miami Dolphins,,Philadelphia Eagles,13,10,205,1,216,2
14,Houston Oilers,,Cleveland Browns,17,13,154,1,367,2
14,Chicago Bears,,Minnesota Vikings,10,9,244,2,292,5
14,San Francisco 49ers,@,Cincinnati Bengals,21,3,325,1,345,6
14,St. Louis Cardinals,,New Orleans Saints,30,3,290,1,176,3
14,Green Bay Packers,,Detroit Lions,31,17,333,0,360,2
14,Miami Dolphins,,New England Patriots,24,14,340,2,256,2
14,New York Giants,,Los Angeles Rams,10,7,147,0,240,3
14,Washington Redskins,,Philadelphia Eagles,15,13,176,2,416,4
14,Dallas Cowboys,@,Baltimore Colts,37,13,464,2,238,3
14,Tampa Bay Buccaneers,,Atlanta Falcons,24,23,420,1,373,1
14,Buffalo Bills,@,San Diego Chargers,28,27,318,0,482,2
14,Denver Broncos,,Kansas City Chiefs,16,13,342,1,307,1
14,Seattle Seahawks,,New York Jets,27,23,383,4,395,3
14,Oakland Raiders,,Pittsburgh Steelers,30,27,471,5,331,2
15,New York Jets,@,Cleveland Browns,14,13,314,2,334,2
15,Detroit Lions,,Minnesota Vikings,45,7,476,4,216,4
15,Buffalo Bills,@,New England Patriots,19,10,329,0,204,2
15,Cincinnati Bengals,@,Pittsburgh Steelers,17,10,318,2,207,2
15,Washington Redskins,,Baltimore Colts,38,14,486,1,337,2
15,New York Giants,@,St. Louis Cardinals,20,10,252,2,222,3
15,Green Bay Packers,@,New Orleans Saints,35,7,318,0,252,6
15,San Diego Chargers,@,Tampa Bay Buccaneers,24,23,445,4,404,3
15,Miami Dolphins,@,Kansas City Chiefs,17,7,253,3,276,2
15,Chicago Bears,@,Oakland Raiders,23,6,378,2,263,2
15,Dallas Cowboys,,Philadelphia Eagles,21,10,412,2,225,5
15,Denver Broncos,,Seattle Seahawks,23,13,373,3,285,5
15,San Francisco 49ers,,Houston Oilers,28,6,414,0,186,2
15,Los Angeles Rams,,Atlanta Falcons,21,16,273,5,252,2
16,New York Giants,,Dallas Cowboys,13,10,297,2,254,3
16,Miami Dolphins,,Buffalo Bills,16,6,282,1,240,3
16,Chicago Bears,,Denver Broncos,35,24,281,2,298,3
16,Philadelphia Eagles,,St. Louis Cardinals,38,0,444,5,211,6
16,Tampa Bay Buccaneers,@,Detroit Lions,20,17,276,0,340,3
16,New York Jets,,Green Bay Packers,28,3,393,4,84,3
16,Kansas City Chiefs,@,Minnesota Vikings,10,6,273,2,245,4
16,Baltimore Colts,,New England Patriots,23,21,383,2,350,4
16,San Francisco 49ers,@,New Orleans Saints,21,17,349,3,222,1
16,Cincinnati Bengals,@,Atlanta Falcons,30,28,433,1,328,1
16,Seattle Seahawks,,Cleveland Browns,42,21,292,4,452,10
16,Houston Oilers,,Pittsburgh Steelers,21,20,376,2,277,2
16,Washington Redskins,@,Los Angeles Rams,30,7,502,1,165,2
16,San Diego Chargers,,Oakland Raiders,23,10,361,1,336,2
WildCard,Buffalo Bills,@,New York Jets,31,27,321,4,419,5
WildCard,New York Giants,@,Philadelphia Eagles,27,21,275,1,226,2
Division,Dallas Cowboys,,Tampa Bay Buccaneers,38,0,345,0,222,4
Division,San Diego Chargers,@,Miami Dolphins,41,38,564,4,472,3
Division,Cincinnati Bengals,,Buffalo Bills,28,21,305,0,336,2
Division,San Francisco 49ers,,New York Giants,38,24,423,1,346,4
ConfChamp,Cincinnati Bengals,,San Diego Chargers,27,7,318,1,301,4
ConfChamp,San Francisco 49ers,,Dallas Cowboys,28,27,393,6,250,3
