Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
6,Washington Redskins,,Dallas Cowboys,24,20,305,1,276,2
6,Denver Broncos,@,Oakland Raiders,30,23,409,1,316,1
6,San Francisco 49ers,,New Orleans Saints,20,20,340,3,367,2
6,Chicago Bears,,Minnesota Vikings,13,10,241,4,282,4
7,San Francisco 49ers,@,Atlanta Falcons,49,14,348,3,152,4
7,Pittsburgh Steelers,@,Buffalo Bills,38,21,309,1,418,4
7,Cincinnati Bengals,,Houston Oilers,30,7,496,2,145,2
7,New York Jets,,New England Patriots,34,10,392,2,194,3
7,Washington Redskins,@,New York Giants,23,16,337,2,360,2
7,Chicago Bears,@,St. Louis Cardinals,27,10,329,2,269,4
7,Minnesota Vikings,@,Green Bay Packers,27,13,344,3,232,4
7,New Orleans Saints,,Philadelphia Eagles,21,3,432,1,209,3
7,Cleveland Browns,@,Denver Broncos,27,20,343,1,272,1
7,Miami Dolphins,@,Baltimore Colts,23,0,375,1,192,2
7,Kansas City Chiefs,@,San Diego Chargers,26,14,268,2,280,5
7,Oakland Raiders,,Los Angeles Rams,45,17,362,0,317,7
7,Dallas Cowboys,,Detroit Lions,28,24,365,2,283,0
8,Miami Dolphins,@,Buffalo Bills,30,16,327,1,172,2
8,Detroit Lions,,Chicago Bears,14,0,326,4,146,1
8,Pittsburgh Steelers,,Cincinnati Bengals,40,17,415,0,366,3
8,Cleveland Browns,,Houston Oilers,20,0,298,0,212,1
8,Philadelphia Eagles,,St. Louis Cardinals,6,6,299,1,228,2
8,New York Giants,,Denver Broncos,29,17,316,1,330,3
8,Washington Redskins,@,New York Jets,35,17,311,2,222,4
8,Green Bay Packers,,San Francisco 49ers,34,24,338,0,327,3
8,Minnesota Vikings,,New Orleans Saints,37,6,381,1,270,4
8,Los Angeles Rams,,Atlanta Falcons,20,7,295,0,237,2
8,Dallas Cowboys,@,San Diego Chargers,34,28,269,2,346,4
8,Kansas City Chiefs,,Oakland Raiders,27,14,371,1,293,3
8,Baltimore Colts,@,New England Patriots,24,17,267,2,281,3
9,Atlanta Falcons,,New Orleans Saints,36,20,352,1,264,2
9,New York Jets,,Buffalo Bills,41,3,289,1,210,4
9,Oakland Raiders,@,Cincinnati Bengals,20,14,381,2,233,1
9,Pittsburgh Steelers,,Kansas City Chiefs,16,7,318,5,183,3
9,Miami Dolphins,,New England Patriots,52,0,482,1,169,3
9,Washington Redskins,,New York Giants,27,13,380,1,235,2
9,Green Bay Packers,@,Chicago Bears,23,17,163,2,296,3
9,Dallas Cowboys,,St. Louis Cardinals,33,24,427,1,328,3
9,Philadelphia Eagles,@,Houston Oilers,18,17,237,1,348,3
9,San Francisco 49ers,,Baltimore Colts,24,21,310,1,297,1
9,Denver Broncos,@,Los Angeles Rams,16,10,245,2,183,3
9,Minnesota Vikings,,Detroit Lions,16,14,298,3,228,1
9,Cleveland Browns,@,San Diego Chargers,21,17,299,1,327,3
10,Buffalo Bills,@,New England Patriots,27,24,295,4,298,4
10,Baltimore Colts,@,Cincinnati Bengals,20,19,306,1,267,1
10,Cleveland Browns,,Pittsburgh Steelers,26,24,389,2,314,2
10,Dallas Cowboys,@,Philadelphia Eagles,28,7,321,3,126,3
10,Detroit Lions,,New Orleans Saints,27,14,330,0,319,3
10,Miami Dolphins,,New York Jets,28,24,346,3,283,3
10,San Francisco 49ers,@,Chicago Bears,34,21,376,0,356,3
10,New York Giants,@,St. Louis Cardinals,13,7,247,0,207,2
10,Oakland Raiders,@,Denver Broncos,37,20,337,2,208,3
10,Green Bay Packers,@,Houston Oilers,23,10,310,0,240,0
10,San Diego Chargers,@,Kansas City Chiefs,27,17,294,0,363,6
10,Minnesota Vikings,@,Los Angeles Rams,45,41,375,0,426,2
10,Washington Redskins,,Atlanta Falcons,24,13,268,2,256,4
11,Detroit Lions,,New York Jets,37,20,385,0,394,1
11,San Francisco 49ers,@,Dallas Cowboys,31,10,280,1,308,4
11,Atlanta Falcons,,Denver Broncos,23,20,250,1,315,1
11,Cleveland Browns,,Buffalo Bills,27,10,253,2,175,2
11,Washington Redskins,,Green Bay Packers,21,16,281,1,187,1
11,Pittsburgh Steelers,,Minnesota Vikings,23,10,292,3,320,3
11,New Orleans Saints,,Los Angeles Rams,19,16,260,0,309,0
11,New York Giants,,Philadelphia Eagles,62,10,503,0,222,5
11,Cincinnati Bengals,@,Chicago Bears,13,3,271,2,216,2
11,Baltimore Colts,,New England Patriots,31,0,262,2,206,6
11,Oakland Raiders,,Kansas City Chiefs,26,3,420,1,159,4
11,San Diego Chargers,,Houston Oilers,34,20,367,1,213,1
11,Miami Dolphins,,St. Louis Cardinals,31,10,426,2,224,6
12,Atlanta Falcons,,Houston Oilers,20,10,328,3,242,6
12,Cincinnati Bengals,,New York Giants,13,10,317,2,267,4
12,Pittsburgh Steelers,,Cleveland Browns,30,0,337,1,126,3
12,Miami Dolphins,@,New England Patriots,37,21,501,3,217,2
12,New York Jets,,New Orleans Saints,18,17,323,2,333,1
12,Washington Redskins,@,Philadelphia Eagles,23,7,325,0,120,1
12,Baltimore Colts,,Buffalo Bills,35,7,391,0,244,4
12,Minnesota Vikings,,Chicago Bears,23,10,341,3,91,3
12,Kansas City Chiefs,,Denver Broncos,24,21,189,1,328,5
12,Green Bay Packers,,Detroit Lions,33,7,309,1,189,6
12,Dallas Cowboys,@,St. Louis Cardinals,27,6,349,5,141,5
12,Oakland Raiders,@,San Diego Chargers,21,19,298,3,440,2
12,Los Angeles Rams,@,San Francisco 49ers,26,16,313,0,304,3
13,Cleveland Browns,@,Cincinnati Bengals,27,24,259,2,334,4
13,Dallas Cowboys,,Washington Redskins,34,24,307,1,312,4
13,Detroit Lions,@,Buffalo Bills,21,21,260,0,418,3
13,Chicago Bears,@,Philadelphia Eagles,21,12,250,4,230,4
13,Miami Dolphins,@,New York Giants,23,13,367,1,343,6
13,New England Patriots,@,New Orleans Saints,17,10,289,2,337,4
13,St. Louis Cardinals,,Los Angeles Rams,24,14,269,1,391,3
13,Denver Broncos,,San Diego Chargers,38,13,257,3,335,5
13,Green Bay Packers,@,Minnesota Vikings,23,7,270,2,144,4
13,Pittsburgh Steelers,@,Houston Oilers,9,3,193,1,159,1
13,San Francisco 49ers,,Atlanta Falcons,20,0,276,0,265,4
13,Kansas City Chiefs,,Baltimore Colts,24,10,322,0,254,3
13,Oakland Raiders,,New York Jets,24,16,366,3,401,2
14,Miami Dolphins,,Baltimore Colts,16,0,284,2,257,6
14,San Francisco 49ers,,Minnesota Vikings,20,17,383,7,273,2
14,Kansas City Chiefs,@,Atlanta Falcons,17,14,290,1,251,3
14,Buffalo Bills,@,Washington Redskins,24,17,264,2,171,3
14,Cleveland Browns,@,New York Jets,26,10,342,3,206,3
14,Cincinnati Bengals,@,Houston Oilers,61,17,343,1,296,5
14,St. Louis Cardinals,,Philadelphia Eagles,24,23,396,2,275,0
14,Green Bay Packers,@,New Orleans Saints,30,20,244,0,152,2
14,Oakland Raiders,,Chicago Bears,28,21,359,4,195,1
14,New York Giants,@,Dallas Cowboys,23,3,349,1,132,4
14,Denver Broncos,,New England Patriots,45,21,482,0,260,0
14,Detroit Lions,@,Los Angeles Rams,34,17,370,1,333,2
14,Pittsburgh Steelers,@,San Diego Chargers,24,2,246,1,172,7
Division,Pittsburgh Steelers,,Oakland Raiders,13,7,252,1,216,4
Division,Dallas Cowboys,@,San Francisco 49ers,30,28,402,5,255,3
Division,Washington Redskins,,Green Bay Packers,16,3,232,1,211,1
Division,Miami Dolphins,,Cleveland Browns,20,14,272,2,283,5
ConfChamp,Miami Dolphins,@,Pittsburgh Steelers,21,17,314,1,250,2
ConfChamp,Washington Redskins,,Dallas Cowboys,26,3,316,1,169,1
SuperBowl,Miami Dolphins,N,Washington Redskins,14,7,253,2,228,3
