Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,New York Jets,@,Buffalo Bills,41,24,293,1,287,4
1,Cincinnati Bengals,@,New England Patriots,31,7,357,0,137,3
1,Green Bay Packers,@,Cleveland Browns,26,10,290,1,188,4
1,Pittsburgh Steelers,,Oakland Raiders,34,28,247,4,370,5
1,Atlanta Falcons,@,Chicago Bears,37,21,319,2,283,3
1,St. Louis Cardinals,@,Baltimore Colts,10,3,134,0,364,3
1,Dallas Cowboys,,Philadelphia Eagles,28,6,389,3,315,4
1,Detroit Lions,,New York Giants,30,16,392,0,245,2
1,Denver Broncos,,Houston Oilers,30,17,478,3,196,2
1,Miami Dolphins,@,Kansas City Chiefs,20,10,296,2,332,4
1,Los Angeles Rams,,New Orleans Saints,34,14,393,1,287,2
1,San Francisco 49ers,,San Diego Chargers,34,3,295,2,258,5
1,Washington Redskins,@,Minnesota Vikings,24,21,203,1,382,2
2,New England Patriots,,Atlanta Falcons,21,20,287,0,399,0
2,Buffalo Bills,,San Francisco 49ers,27,20,233,1,202,4
2,Cincinnati Bengals,,Pittsburgh Steelers,15,10,269,4,205,3
2,Cleveland Browns,@,Philadelphia Eagles,27,17,297,1,314,3
2,Washington Redskins,,St. Louis Cardinals,24,10,272,0,219,3
2,Dallas Cowboys,@,New York Giants,23,14,297,0,355,2
2,Miami Dolphins,,Houston Oilers,34,13,435,4,167,3
2,Los Angeles Rams,@,Chicago Bears,13,13,171,3,170,4
2,New York Jets,@,Baltimore Colts,44,34,573,2,412,2
2,Oakland Raiders,@,Green Bay Packers,20,14,313,1,207,2
2,San Diego Chargers,,Denver Broncos,37,14,317,2,313,6
2,Minnesota Vikings,@,Detroit Lions,34,10,286,0,213,5
2,Kansas City Chiefs,@,New Orleans Saints,20,17,324,4,152,0
3,Atlanta Falcons,,Los Angeles Rams,31,3,358,3,249,6
3,Baltimore Colts,@,Buffalo Bills,17,0,339,4,229,5
3,Cleveland Browns,,Cincinnati Bengals,27,6,289,0,331,4
3,New England Patriots,,Washington Redskins,24,23,380,2,349,2
3,Detroit Lions,@,Chicago Bears,38,24,312,0,327,3
3,Pittsburgh Steelers,@,St. Louis Cardinals,25,19,362,2,248,4
3,Green Bay Packers,,Dallas Cowboys,16,13,168,0,269,5
3,San Francisco 49ers,@,New Orleans Saints,37,2,318,3,84,7
3,Houston Oilers,,New York Jets,26,20,412,1,398,4
3,Kansas City Chiefs,@,Denver Broncos,45,24,305,1,332,4
3,Miami Dolphins,@,Minnesota Vikings,16,14,254,2,240,4
3,San Diego Chargers,@,Oakland Raiders,17,17,345,3,232,1
3,New York Giants,@,Philadelphia Eagles,27,12,321,2,394,4
4,Detroit Lions,@,Atlanta Falcons,26,23,314,4,278,1
4,Buffalo Bills,,New England Patriots,38,14,305,2,354,4
4,Cincinnati Bengals,,Denver Broncos,21,10,199,1,167,0
4,Kansas City Chiefs,@,Cleveland Browns,31,7,283,1,209,8
4,Miami Dolphins,@,New York Jets,27,17,394,1,270,1
4,New York Giants,,New Orleans Saints,45,21,357,2,286,6
4,Washington Redskins,,Philadelphia Eagles,14,0,371,4,236,2
4,Green Bay Packers,,Chicago Bears,20,17,341,2,258,1
4,San Diego Chargers,@,Baltimore Colts,23,20,350,5,265,3
4,St. Louis Cardinals,@,Minnesota Vikings,19,17,262,0,292,2
4,Dallas Cowboys,,Pittsburgh Steelers,17,13,367,4,272,2
4,Los Angeles Rams,,San Francisco 49ers,31,7,513,1,250,2
4,Oakland Raiders,@,Houston Oilers,34,0,302,4,89,5
5,Chicago Bears,@,Cleveland Browns,17,0,310,1,163,1
5,Miami Dolphins,,San Diego Chargers,24,10,239,1,243,3
5,New York Jets,@,New England Patriots,41,13,396,1,311,2
5,Los Angeles Rams,@,Philadelphia Eagles,34,3,313,0,137,5
5,Atlanta Falcons,@,New Orleans Saints,21,14,322,5,121,3
5,Washington Redskins,@,St. Louis Cardinals,33,3,390,3,151,4
5,Oakland Raiders,,Buffalo Bills,28,16,396,2,295,1
5,Cincinnati Bengals,@,Kansas City Chiefs,23,16,251,2,320,2
5,Dallas Cowboys,@,Baltimore Colts,21,0,390,2,175,3
5,Minnesota Vikings,@,Denver Broncos,23,20,305,1,336,2
5,New York Giants,@,San Francisco 49ers,23,17,269,2,342,5
5,Pittsburgh Steelers,,Houston Oilers,24,7,295,0,108,1
5,Green Bay Packers,@,Detroit Lions,24,23,265,2,229,2
6,Miami Dolphins,,Buffalo Bills,24,23,310,4,188,1
6,New York Jets,,Baltimore Colts,24,20,347,4,406,2
6,New York Giants,,St. Louis Cardinals,27,21,316,3,191,3
6,Detroit Lions,,San Diego Chargers,34,20,324,2,225,3
6,Pittsburgh Steelers,,New England Patriots,33,3,426,1,276,4
6,Atlanta Falcons,@,Green Bay Packers,10,9,244,1,215,2
6,Cleveland Browns,@,Houston Oilers,23,17,254,0,364,2
6,Philadelphia Eagles,@,Kansas City Chiefs,21,20,349,2,244,2
6,Los Angeles Rams,,Cincinnati Bengals,15,12,149,3,283,2
