Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Atlanta Falcons,,San Francisco 49ers,20,17,266,1,372,7
1,Dallas Cowboys,@,Buffalo Bills,49,37,371,1,401,4
1,Cincinnati Bengals,,Philadelphia Eagles,37,14,532,1,315,4
1,Cleveland Browns,,Houston Oilers,31,0,377,2,243,6
1,New England Patriots,,Oakland Raiders,20,6,261,3,304,4
1,Chicago Bears,,Pittsburgh Steelers,17,15,141,4,352,7
1,Washington Redskins,@,St. Louis Cardinals,24,17,213,1,255,7
1,New York Giants,@,Green Bay Packers,42,40,323,1,348,5
1,New Orleans Saints,,Los Angeles Rams,24,20,276,1,262,1
1,Baltimore Colts,,New York Jets,22,0,319,1,118,0
1,Miami Dolphins,@,Denver Broncos,10,10,239,5,261,1
1,San Diego Chargers,,Kansas City Chiefs,21,14,356,1,231,2
1,Minnesota Vikings,@,Detroit Lions,16,13,275,4,221,2
2,Miami Dolphins,@,Buffalo Bills,29,14,376,0,267,3
2,Pittsburgh Steelers,,Cincinnati Bengals,21,10,288,3,253,1
2,Dallas Cowboys,@,Philadelphia Eagles,42,7,369,4,170,8
2,Green Bay Packers,,Denver Broncos,34,13,303,4,327,7
2,Detroit Lions,@,New England Patriots,34,7,368,0,246,3
2,Washington Redskins,@,New York Giants,30,3,427,0,156,2
2,Chicago Bears,@,Minnesota Vikings,20,17,315,3,230,1
2,Cleveland Browns,@,Baltimore Colts,14,13,267,4,178,8
2,Kansas City Chiefs,@,Houston Oilers,20,16,286,2,198,3
2,San Francisco 49ers,@,New Orleans Saints,38,20,319,2,263,2
2,Los Angeles Rams,,Atlanta Falcons,20,20,317,3,437,1
2,Oakland Raiders,@,San Diego Chargers,34,0,375,1,226,5
2,St. Louis Cardinals,,New York Jets,17,10,340,1,239,0
3,Baltimore Colts,@,New England Patriots,23,3,358,2,151,1
3,New York Jets,@,Miami Dolphins,14,10,221,1,297,3
3,San Francisco 49ers,@,Philadelphia Eagles,31,3,510,2,261,2
3,Pittsburgh Steelers,,San Diego Chargers,21,17,282,1,427,4
