Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
6,Baltimore Colts,,Boston Patriots,27,3,272,1,170,4
6,Green Bay Packers,,Philadelphia Eagles,30,17,241,3,311,5
6,Dallas Cowboys,@,Kansas City Chiefs,27,16,327,1,236,3
6,San Francisco 49ers,,Denver Broncos,19,14,362,0,283,3
6,San Diego Chargers,,Houston Oilers,31,31,233,2,448,3
6,Oakland Raiders,,Pittsburgh Steelers,31,14,346,2,266,5
6,Minnesota Vikings,,Los Angeles Rams,13,3,172,2,100,5
7,Chicago Bears,@,Atlanta Falcons,23,14,154,2,278,3
7,Buffalo Bills,@,Boston Patriots,45,10,364,2,251,5
7,San Diego Chargers,@,Cleveland Browns,27,10,321,0,309,4
7,Minnesota Vikings,@,Detroit Lions,30,17,387,4,254,3
7,New York Giants,@,New York Jets,22,10,240,0,237,4
7,Baltimore Colts,,Miami Dolphins,35,0,239,1,383,4
7,St. Louis Cardinals,,Houston Oilers,44,0,454,0,160,3
7,Dallas Cowboys,,Philadelphia Eagles,21,17,278,1,396,4
7,Los Angeles Rams,@,New Orleans Saints,30,17,408,5,212,3
7,Washington Redskins,@,Denver Broncos,19,3,199,2,246,5
7,San Francisco 49ers,,Green Bay Packers,26,10,258,3,308,6
7,Oakland Raiders,@,Kansas City Chiefs,17,17,278,0,321,2
7,Pittsburgh Steelers,,Cincinnati Bengals,21,10,281,1,282,3
8,Cincinnati Bengals,@,Buffalo Bills,43,14,320,0,377,6
8,New York Giants,,Dallas Cowboys,23,20,338,3,263,0
8,Philadelphia Eagles,,Miami Dolphins,24,17,291,2,245,4
8,Minnesota Vikings,@,Washington Redskins,19,10,163,0,334,1
8,Pittsburgh Steelers,,New York Jets,21,17,277,2,246,3
8,San Francisco 49ers,@,Chicago Bears,37,16,387,1,178,2
8,St. Louis Cardinals,,Boston Patriots,31,0,283,1,195,4
8,New Orleans Saints,,Detroit Lions,19,17,272,0,278,6
8,Kansas City Chiefs,,Houston Oilers,24,9,221,0,326,3
8,Los Angeles Rams,,Atlanta Falcons,10,10,364,3,194,1
8,Oakland Raiders,,Cleveland Browns,23,20,294,2,240,3
8,San Diego Chargers,,Denver Broncos,24,21,235,0,341,1
8,Baltimore Colts,@,Green Bay Packers,13,10,290,2,218,4
9,Philadelphia Eagles,,Atlanta Falcons,13,13,230,0,236,2
9,Cincinnati Bengals,,Cleveland Browns,14,10,333,3,296,1
9,Kansas City Chiefs,@,Pittsburgh Steelers,31,14,424,3,202,6
9,Miami Dolphins,,New Orleans Saints,21,10,406,4,319,3
9,San Diego Chargers,@,Boston Patriots,16,14,267,0,179,2
9,New York Giants,,Washington Redskins,35,33,485,2,411,1
9,Baltimore Colts,,Buffalo Bills,17,17,345,1,271,2
9,Green Bay Packers,,Chicago Bears,20,19,319,1,282,0
9,Minnesota Vikings,,Detroit Lions,24,20,289,2,185,2
9,San Francisco 49ers,@,Houston Oilers,30,20,376,1,268,0
9,Oakland Raiders,@,Denver Broncos,24,19,325,2,312,3
9,New York Jets,@,Los Angeles Rams,31,20,386,2,325,4
9,St. Louis Cardinals,@,Dallas Cowboys,38,0,392,1,243,6
10,Los Angeles Rams,@,Atlanta Falcons,17,7,222,2,272,5
10,Cincinnati Bengals,,Pittsburgh Steelers,34,7,332,1,321,6
10,Cleveland Browns,,Houston Oilers,28,14,348,0,326,4
10,Miami Dolphins,,Baltimore Colts,34,17,251,0,296,4
10,Dallas Cowboys,@,Washington Redskins,45,21,370,1,304,2
10,Denver Broncos,@,New Orleans Saints,31,6,452,1,263,3
10,Detroit Lions,,San Francisco 49ers,28,7,298,0,190,4
10,New York Jets,,Boston Patriots,17,3,293,2,80,1
10,Chicago Bears,,Buffalo Bills,31,13,241,2,253,5
10,Minnesota Vikings,,Green Bay Packers,10,3,202,0,282,2
10,Kansas City Chiefs,,St. Louis Cardinals,6,6,212,3,272,4
10,Oakland Raiders,,San Diego Chargers,20,17,396,1,331,2
10,Philadelphia Eagles,,New York Giants,23,20,281,2,287,3
11,Detroit Lions,,Oakland Raiders,28,14,399,3,248,2
11,Dallas Cowboys,,Green Bay Packers,16,3,352,0,129,1
11,Boston Patriots,@,Buffalo Bills,14,10,167,4,325,2
11,Cincinnati Bengals,,New Orleans Saints,26,6,297,1,362,5
11,Pittsburgh Steelers,,Cleveland Browns,28,9,425,2,171,1
11,New York Jets,,Minnesota Vikings,20,10,261,0,167,4
11,New York Giants,@,Washington Redskins,27,24,401,1,356,2
11,Baltimore Colts,,Chicago Bears,21,20,308,5,235,0
11,St. Louis Cardinals,,Philadelphia Eagles,23,14,337,1,276,2
11,Houston Oilers,,Denver Broncos,31,21,332,3,247,5
11,Kansas City Chiefs,,San Diego Chargers,26,14,329,1,196,2
11,Los Angeles Rams,@,San Francisco 49ers,30,13,220,1,285,2
11,Miami Dolphins,@,Atlanta Falcons,20,7,304,2,271,1
12,Minnesota Vikings,,Chicago Bears,16,13,281,1,129,3
12,New York Giants,,Buffalo Bills,20,6,270,3,180,2
12,Detroit Lions,,St. Louis Cardinals,16,3,279,2,146,5
12,Green Bay Packers,@,Pittsburgh Steelers,20,12,317,4,274,6
12,Miami Dolphins,,Boston Patriots,37,20,301,2,243,0
12,Oakland Raiders,@,New York Jets,14,13,250,3,257,2
12,Baltimore Colts,,Philadelphia Eagles,29,10,249,2,186,4
12,Kansas City Chiefs,,Denver Broncos,16,0,222,0,146,6
12,San Francisco 49ers,,Atlanta Falcons,24,20,354,3,205,1
12,Cincinnati Bengals,@,San Diego Chargers,17,14,136,1,280,4
12,Dallas Cowboys,,Washington Redskins,34,0,424,1,166,4
12,Los Angeles Rams,,New Orleans Saints,34,16,445,0,255,0
12,Cleveland Browns,@,Houston Oilers,21,10,344,4,223,1
13,Dallas Cowboys,@,Cleveland Browns,6,2,174,1,299,4
13,Oakland Raiders,,Kansas City Chiefs,20,6,324,1,121,1
13,Minnesota Vikings,@,Boston Patriots,35,14,429,4,182,4
13,Atlanta Falcons,,Pittsburgh Steelers,27,16,221,2,193,6
13,Baltimore Colts,@,Buffalo Bills,20,14,275,1,333,3
13,Washington Redskins,,Philadelphia Eagles,24,6,316,1,206,1
13,Chicago Bears,,Green Bay Packers,35,17,392,3,180,2
13,Cincinnati Bengals,@,Houston Oilers,30,20,338,1,353,4
13,New York Giants,@,St. Louis Cardinals,34,17,361,0,344,2
13,San Francisco 49ers,@,New Orleans Saints,38,27,330,1,353,4
13,San Diego Chargers,@,Denver Broncos,17,17,231,1,264,3
13,Miami Dolphins,,New York Jets,16,10,269,3,214,3
13,Detroit Lions,@,Los Angeles Rams,28,23,343,1,381,1
14,Baltimore Colts,,New York Jets,35,20,457,2,212,0
14,Minnesota Vikings,@,Atlanta Falcons,37,7,398,3,131,4
14,Miami Dolphins,,Buffalo Bills,45,7,325,1,197,4
14,Cincinnati Bengals,,Boston Patriots,45,7,424,0,149,2
14,Washington Redskins,,St. Louis Cardinals,28,27,287,3,250,3
14,Detroit Lions,,Green Bay Packers,20,0,162,4,124,5
14,Los Angeles Rams,@,New York Giants,31,3,341,0,216,2
14,Philadelphia Eagles,,Pittsburgh Steelers,30,20,383,4,341,2
14,Chicago Bears,@,New Orleans Saints,24,3,376,4,191,4
14,Dallas Cowboys,,Houston Oilers,52,10,549,3,151,5
14,Cleveland Browns,@,Denver Broncos,27,13,283,3,280,4
14,San Diego Chargers,,Kansas City Chiefs,31,13,466,1,237,0
14,San Francisco 49ers,@,Oakland Raiders,38,7,296,0,358,9
Division,Baltimore Colts,,Cincinnati Bengals,17,0,299,0,139,1
Division,Dallas Cowboys,,Detroit Lions,5,0,231,1,156,3
Division,San Francisco 49ers,@,Minnesota Vikings,17,14,289,3,241,4
Division,Oakland Raiders,,Miami Dolphins,21,14,307,2,242,1
ConfChamp,Baltimore Colts,,Oakland Raiders,27,17,363,0,336,4
ConfChamp,Dallas Cowboys,@,San Francisco 49ers,17,10,319,0,307,2
SuperBowl,Baltimore Colts,N,Dallas Cowboys,16,13,329,7,215,4
