Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Los Angeles Rams,,St. Louis Cardinals,34,13,342,1,327,4
1,Chicago Bears,@,New York Giants,24,16,256,3,311,3
1,Denver Broncos,@,Buffalo Bills,25,10,282,3,149,4
1,Cincinnati Bengals,,Oakland Raiders,31,21,364,1,291,2
1,Dallas Cowboys,@,Philadelphia Eagles,17,7,297,3,225,4
1,Boston Patriots,,Miami Dolphins,27,14,301,1,214,3
1,Houston Oilers,@,Pittsburgh Steelers,19,7,305,0,214,1
1,Atlanta Falcons,@,New Orleans Saints,14,3,265,2,235,2
1,Detroit Lions,@,Green Bay Packers,40,0,398,1,114,3
1,Baltimore Colts,@,San Diego Chargers,16,14,303,3,288,1
1,Minnesota Vikings,,Kansas City Chiefs,27,10,220,3,218,4
1,San Francisco 49ers,,Washington Redskins,26,17,324,1,209,2
1,Cleveland Browns,,New York Jets,31,21,221,0,454,4
2,Los Angeles Rams,@,Buffalo Bills,19,0,364,3,177,4
2,Detroit Lions,,Cincinnati Bengals,38,3,285,0,140,4
2,New York Jets,@,Boston Patriots,31,21,283,2,209,3
2,Green Bay Packers,,Atlanta Falcons,27,24,344,3,384,5
2,Chicago Bears,,Philadelphia Eagles,20,16,181,1,323,1
2,St. Louis Cardinals,,Washington Redskins,27,17,297,3,254,3
2,Dallas Cowboys,,New York Giants,28,10,360,2,238,3
2,Miami Dolphins,@,Houston Oilers,20,10,284,1,307,3
2,Minnesota Vikings,,New Orleans Saints,26,0,291,2,131,4
2,San Francisco 49ers,,Cleveland Browns,34,31,435,0,448,4
2,Denver Broncos,,Pittsburgh Steelers,16,13,226,4,245,3
2,San Diego Chargers,,Oakland Raiders,27,27,344,3,405,0
2,Kansas City Chiefs,@,Baltimore Colts,44,24,295,4,309,7
3,Miami Dolphins,,Oakland Raiders,20,13,279,1,334,4
3,Cleveland Browns,,Pittsburgh Steelers,15,7,199,2,263,4
3,Atlanta Falcons,,San Francisco 49ers,21,20,356,2,326,2
3,Buffalo Bills,,New York Jets,34,31,401,5,337,0
3,Houston Oilers,@,Cincinnati Bengals,20,13,239,4,248,2
3,Baltimore Colts,@,Boston Patriots,14,6,236,1,240,1
3,Washington Redskins,@,Philadelphia Eagles,33,21,316,1,237,4
3,St. Louis Cardinals,,Dallas Cowboys,20,7,309,2,269,2
3,New Orleans Saints,,New York Giants,14,10,183,3,361,3
3,Denver Broncos,,Kansas City Chiefs,26,13,240,1,121,5
3,Green Bay Packers,,Minnesota Vikings,13,10,173,2,216,3
3,Los Angeles Rams,,San Diego Chargers,37,10,277,1,147,4
3,Detroit Lions,,Chicago Bears,28,14,350,1,177,3
4,Miami Dolphins,@,New York Jets,20,6,312,1,263,3
4,Pittsburgh Steelers,,Buffalo Bills,23,10,209,0,285,5
4,Cleveland Browns,,Cincinnati Bengals,30,27,346,3,236,1
4,Washington Redskins,,Detroit Lions,31,10,352,1,251,1
4,New York Giants,,Philadelphia Eagles,30,23,330,2,367,4
4,Dallas Cowboys,,Atlanta Falcons,13,0,257,3,128,3
4,Minnesota Vikings,@,Chicago Bears,24,0,342,3,137,6
4,St. Louis Cardinals,,New Orleans Saints,24,17,432,3,342,2
4,Baltimore Colts,@,Houston Oilers,24,20,301,2,365,1
4,Oakland Raiders,,Denver Broncos,35,23,522,1,285,1
4,Kansas City Chiefs,,Boston Patriots,23,10,346,5,105,7
4,San Francisco 49ers,@,Los Angeles Rams,20,6,243,2,205,4
4,Green Bay Packers,@,San Diego Chargers,22,20,341,2,257,5
5,Miami Dolphins,@,Buffalo Bills,33,14,301,1,390,6
5,Detroit Lions,@,Cleveland Browns,41,24,315,2,318,6
5,Baltimore Colts,@,New York Jets,29,22,254,4,398,6
5,St. Louis Cardinals,@,Philadelphia Eagles,35,20,299,2,278,3
5,New York Giants,@,Boston Patriots,16,0,224,0,155,3
5,San Diego Chargers,@,Chicago Bears,20,7,357,0,217,2
5,Los Angeles Rams,@,Green Bay Packers,31,21,277,0,319,3
5,Pittsburgh Steelers,@,Houston Oilers,7,3,241,4,259,4
5,Denver Broncos,,Atlanta Falcons,24,10,223,1,216,5
5,Kansas City Chiefs,@,Cincinnati Bengals,27,19,274,0,256,1
5,Minnesota Vikings,,Dallas Cowboys,54,13,258,0,286,4
5,San Francisco 49ers,,New Orleans Saints,20,20,337,4,283,4
5,Oakland Raiders,,Washington Redskins,34,20,458,1,301,0
6,Atlanta Falcons,,New Orleans Saints,32,14,274,2,272,3
6,Buffalo Bills,@,New York Jets,10,6,193,2,119,2
6,Washington Redskins,,Cincinnati Bengals,20,0,324,1,221,4
6,Cleveland Browns,@,Miami Dolphins,28,0,339,3,165,3
6,New York Giants,,St. Louis Cardinals,35,17,371,1,329,2
6,Detroit Lions,@,Chicago Bears,16,10,187,1,310,4
