Week,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Los Angeles Rams,@,Atlanta Falcons,30,14,369,4,210,4
1,Cleveland Browns,,New York Jets,38,17,390,1,258,2
1,Baltimore Colts,@,New England Patriots,27,13,272,1,317,5
1,Washington Redskins,,New York Giants,19,17,322,3,317,4
1,Chicago Bears,,Detroit Lions,10,3,240,0,243,3
1,Cincinnati Bengals,,Denver Broncos,17,7,253,1,161,2
1,Dallas Cowboys,,Philadelphia Eagles,27,7,445,3,280,5
1,San Francisco 49ers,@,Green Bay Packers,26,14,314,1,227,3
1,San Diego Chargers,@,Kansas City Chiefs,30,16,467,0,330,4
1,Minnesota Vikings,@,New Orleans Saints,40,9,449,1,132,3
1,Houston Oilers,,Tampa Bay Buccaneers,20,0,372,4,110,2
1,St. Louis Cardinals,@,Seattle Seahawks,30,24,456,2,352,3
1,Oakland Raiders,,Pittsburgh Steelers,31,28,440,4,438,3
1,Miami Dolphins,@,Buffalo Bills,30,21,401,3,383,0
2,Detroit Lions,,Atlanta Falcons,24,10,295,0,236,5
2,Houston Oilers,@,Buffalo Bills,13,3,260,1,168,2
2,Pittsburgh Steelers,,Cleveland Browns,31,14,298,1,330,4
2,New England Patriots,,Miami Dolphins,30,14,430,2,254,4
2,Philadelphia Eagles,,New York Giants,20,7,300,2,214,2
2,San Diego Chargers,@,Tampa Bay Buccaneers,23,0,326,2,125,4
2,Washington Redskins,,Seattle Seahawks,31,7,428,3,205,3
2,Baltimore Colts,,Cincinnati Bengals,28,27,399,5,303,3
2,St. Louis Cardinals,,Green Bay Packers,29,0,420,0,131,7
2,Dallas Cowboys,@,New Orleans Saints,24,6,423,4,163,1
2,Chicago Bears,@,San Francisco 49ers,19,12,259,2,190,3
2,Denver Broncos,,New York Jets,46,3,543,1,185,2
2,Los Angeles Rams,@,Minnesota Vikings,10,10,394,3,363,3
2,Oakland Raiders,@,Kansas City Chiefs,24,21,446,2,280,1
3,Buffalo Bills,@,Tampa Bay Buccaneers,14,9,295,2,338,2
3,Cincinnati Bengals,,Green Bay Packers,28,7,286,1,36,4
3,Miami Dolphins,,New York Jets,16,0,334,1,224,5
3,New England Patriots,@,Pittsburgh Steelers,30,27,399,4,416,6
3,Atlanta Falcons,@,Chicago Bears,10,0,270,0,226,6
3,Minnesota Vikings,@,Detroit Lions,10,9,168,0,251,2
3,New Orleans Saints,@,Kansas City Chiefs,27,17,425,2,270,0
3,Oakland Raiders,@,Houston Oilers,14,13,234,1,268,1
3,Denver Broncos,,Cleveland Browns,44,13,226,3,227,4
3,Dallas Cowboys,,Baltimore Colts,30,27,457,3,400,1
3,San Diego Chargers,,St. Louis Cardinals,43,24,451,0,364,5
3,Los Angeles Rams,,New York Giants,24,10,368,2,287,5
3,San Francisco 49ers,@,Seattle Seahawks,37,21,381,1,421,3
3,Washington Redskins,@,Philadelphia Eagles,20,17,230,4,418,6
4,Philadelphia Eagles,@,Atlanta Falcons,14,13,210,1,288,2
4,Buffalo Bills,,Kansas City Chiefs,50,17,446,0,502,6
4,Cincinnati Bengals,@,Cleveland Browns,45,24,398,2,417,2
4,New England Patriots,,Oakland Raiders,48,17,468,1,321,4
4,Chicago Bears,,Washington Redskins,33,7,392,0,119,5
4,Baltimore Colts,,Tampa Bay Buccaneers,42,17,458,2,89,1
4,St. Louis Cardinals,,New York Giants,27,21,304,0,344,1
4,Green Bay Packers,,Detroit Lions,24,14,247,1,216,2
4,Houston Oilers,@,New Orleans Saints,31,26,255,1,375,3
4,Dallas Cowboys,@,Seattle Seahawks,28,13,411,1,243,1
4,Denver Broncos,,San Diego Chargers,26,0,311,2,240,3
4,Los Angeles Rams,@,Miami Dolphins,31,28,593,1,319,2
4,San Francisco 49ers,,New York Jets,17,6,247,2,261,2
4,Minnesota Vikings,,Pittsburgh Steelers,17,6,178,4,225,6
5,New York Jets,,Buffalo Bills,17,14,270,4,205,5
5,Cincinnati Bengals,,Tampa Bay Buccaneers,21,0,277,3,200,3
5,Cleveland Browns,,Pittsburgh Steelers,18,16,326,2,196,3
5,Dallas Cowboys,@,New York Giants,24,14,331,0,291,1
5,Detroit Lions,,New England Patriots,30,10,329,0,199,5
5,Kansas City Chiefs,@,Washington Redskins,33,30,443,0,438,4
5,New Orleans Saints,,Atlanta Falcons,30,0,312,2,168,7
5,Minnesota Vikings,,Chicago Bears,20,19,287,2,329,2
5,St. Louis Cardinals,,Philadelphia Eagles,33,14,384,1,175,4
5,Houston Oilers,,Denver Broncos,17,3,312,0,154,1
5,Green Bay Packers,,Seattle Seahawks,27,20,380,3,227,2
5,Baltimore Colts,,Miami Dolphins,28,14,332,1,268,2
5,Oakland Raiders,@,San Diego Chargers,27,17,476,1,383,1
5,San Francisco 49ers,@,Los Angeles Rams,16,0,270,2,196,3
6,Cleveland Browns,@,Atlanta Falcons,20,17,432,3,258,1
6,Baltimore Colts,@,Buffalo Bills,31,13,415,2,344,2
